aqi,city,co,crawl_time,date,level,no2,o3,pm10,pm2_5,so2,spider
42,长春,0.6,,2018-12-01,优,28,46,42,22,17,
60,长春,1,,2018-11-01,良,48,40,69,38,19,
28,长春,0.6,,2018-10-01,优,22,52,23,10,4,
39,长春,0.7,,2018-10-02,优,31,59,35,14,5,
47,长春,0.7,,2018-09-01,优,26,66,49,17,5,
51,长春,0.6,,2018-08-01,良,26,101,42,13,4,
68,长春,0.6,,2018-08-02,良,38,121,54,15,6,
113,长春,0.9,,2018-08-03,轻度污染,30,174,65,24,5,
103,长春,0.7,,2018-07-01,轻度污染,41,163,58,23,5,
92,长春,0.9,,2018-07-02,良,73,36,88,34,6,
77,长春,0.6,,2018-07-03,良,39,132,56,20,5,
55,长春,0.5,,2018-07-04,良,36,106,41,12,5,
123,长春,1,,2018-06-01,轻度污染,39,185,82,35,10,
134,长春,0.7,,2018-06-02,轻度污染,28,197,93,29,9,
148,长春,0.7,,2018-06-03,轻度污染,25,212,98,36,8,
63,长春,0.6,,2018-05-01,良,29,115,65,18,6,
59,长春,0.6,,2018-05-02,良,23,101,68,27,5,
118,长春,1.3,,2018-04-01,轻度污染,42,148,145,89,15,
94,长春,0.9,,2018-04-02,良,27,141,137,60,13,
57,长春,0.7,,2018-04-03,良,26,93,63,29,8,
62,长春,0.8,,2018-03-01,良,28,90,74,34,24,
63,长春,0.9,,2018-03-02,良,35,93,76,32,30,
63,长春,0.9,,2018-03-03,良,29,82,66,45,24,
47,长春,0.8,,2018-03-04,优,37,83,38,27,24,
73,长春,1.2,,2018-02-01,良,50,60,70,53,58,
59,长春,1,,2018-02-02,良,39,59,57,42,38,
125,长春,1.6,,2018-01-01,轻度污染,44,47,150,95,45,
52,长春,1,,2017-12-01,良,40,0,61,38,54,
142,长春,1.2,,2017-11-01,轻度污染,50,78,143,113,29,
80,长春,0.9,,2017-10-01,良,22,116,110,24,9,
53,长春,0.9,,2017-10-02,良,38,62,59,17,11,
55,长春,1,,2017-09-01,良,42,99,58,21,11,
57,长春,0.9,,2017-09-02,良,47,88,53,19,11,
80,长春,1.1,,2017-08-01,良,32,136,56,26,10,
44,长春,1,,2017-08-02,优,22,88,41,18,9,
30,长春,0.9,,2017-08-03,优,18,61,19,10,7,
102,长春,1.5,,2017-07-01,轻度污染,33,163,102,60,9,
62,长春,1.3,,2017-07-02,良,32,115,69,40,8,
54,长春,1.1,,2017-07-03,良,36,105,34,13,8,
48,长春,0.9,,2017-06-01,优,34,70,47,19,11,
40,长春,0.9,,2017-06-02,优,34,66,33,15,11,
74,长春,1.1,,2017-05-01,良,48,129,99,35,13,
125,长春,1,,2017-05-02,轻度污染,29,188,108,34,15,
108,长春,1,,2017-05-03,轻度污染,23,169,90,29,13,
133,长春,1.6,,2017-04-01,轻度污染,68,144,155,104,29,
127,长春,1.5,,2017-04-02,轻度污染,63,130,170,100,27,
161,长春,2,,2017-04-03,中度污染,72,174,205,123,32,
39,长春,1.1,,2017-03-01,优,29,78,33,17,25,
52,长春,1.2,,2017-03-02,良,41,83,54,27,44,
62,长春,1.4,,2017-03-03,良,50,91,66,42,40,
46,长春,1.1,,2017-02-01,优,20,76,43,29,47,
83,长春,1.5,,2017-02-02,良,43,80,92,63,67,
158,长春,2.6,,2017-02-03,中度污染,68,76,146,123,85,
205,长春,2.5,,2017-02-04,重度污染,56,86,172,154,72,
223,长春,2.5,,2017-01-01,重度污染,54,40,194,173,74,
115,长春,2,,2017-01-02,轻度污染,52,56,108,87,69,
41,长春,1.1,,2016-12-01,优,29,50,41,22,40,
68,长春,1.6,,2016-12-02,良,54,35,79,49,70,
59,长春,1.1,,2016-11-01,良,39,51,67,33,44,
65,长春,1.3,,2016-11-02,良,45,48,79,40,44,
116,长春,1,,2016-10-01,轻度污染,37,177,86,41,13,
79,长春,1,,2016-10-02,良,42,125,86,58,13,
27,长春,0.6,,2016-09-01,优,21,27,19,10,6,
45,长春,0.6,,2016-09-02,优,23,89,26,15,6,
74,长春,0.6,,2016-08-01,良,36,128,43,24,6,
43,长春,0.5,,2016-07-01,优,27,86,22,11,4,
60,长春,0.6,,2016-07-02,良,46,112,46,24,8,
90,长春,0.5,,2016-07-03,良,38,147,42,19,7,
53,长春,0.7,,2018-12-02,良,24,67,55,34,15,
67,长春,1,,2018-11-02,良,47,62,71,48,20,
99,长春,1.2,,2018-11-03,良,42,117,86,74,20,
29,长春,0.5,,2018-11-04,优,23,33,27,15,9,
51,长春,0.9,,2018-11-05,良,34,40,52,24,15,
64,长春,1,,2018-11-06,良,41,44,77,42,13,
53,长春,1,,2018-10-03,良,39,63,56,26,7,
59,长春,1.2,,2018-10-04,良,42,93,68,33,7,
59,长春,1,,2018-10-05,良,44,89,68,32,6,
31,长春,0.5,,2018-09-02,优,17,60,29,11,5,
43,长春,0.6,,2018-09-03,优,19,86,24,12,4,
23,长春,0.5,,2018-09-04,优,18,46,15,7,4,
71,长春,0.9,,2018-08-04,良,17,125,58,29,4,
23,长春,0.5,,2018-08-05,优,19,43,18,8,3,
39,长春,0.7,,2018-08-06,优,28,71,38,12,4,
52,长春,0.6,,2018-07-05,良,41,83,43,13,5,
38,长春,0.6,,2018-07-06,优,26,76,32,11,5,
39,长春,0.6,,2018-07-07,优,27,69,39,18,4,
24,长春,0.6,,2018-07-08,优,19,41,19,10,4,
82,长春,0.6,,2018-06-04,良,21,138,79,31,6,
122,长春,0.9,,2018-06-05,轻度污染,28,184,92,44,7,
65,长春,0.9,,2018-06-06,良,35,117,70,42,6,
67,长春,1,,2018-06-07,良,52,107,67,35,6,
76,长春,0.6,,2018-06-08,良,34,131,39,17,5,
78,长春,0.5,,2018-05-03,良,28,106,105,24,5,
65,长春,0.6,,2018-05-04,良,34,117,75,36,6,
0,长春,0,,2018-05-05,无,37,0,0,0,6,
97,长春,0.6,,2018-05-06,良,34,98,144,26,6,
54,长春,0.6,,2018-05-07,良,31,98,58,21,6,
84,长春,0.8,,2018-04-04,良,36,110,87,62,13,
84,长春,0.8,,2018-04-05,良,31,89,83,62,13,
92,长春,0.9,,2018-04-06,良,34,86,98,68,12,
56,长春,0.7,,2018-04-07,良,33,93,62,28,13,
54,长春,0.9,,2018-03-05,良,43,85,37,29,25,
44,长春,0.8,,2018-03-06,优,35,81,32,23,20,
67,长春,1.1,,2018-03-07,良,51,70,60,48,33,
80,长春,1.1,,2018-03-08,良,57,90,62,59,32,
87,长春,1.1,,2018-02-03,良,46,54,74,64,41,
79,长春,1.3,,2018-02-04,良,45,62,70,58,37,
87,长春,1.4,,2018-02-05,良,46,61,77,64,38,
56,长春,0.9,,2018-01-02,良,34,44,62,34,53,
67,长春,1,,2018-01-03,良,43,41,78,48,58,
87,长春,1.1,,2018-01-04,良,49,44,98,64,53,
85,长春,1.1,,2018-01-05,良,46,46,92,63,55,
83,长春,1,,2018-01-06,良,44,50,95,61,54,
61,长春,1.2,,2017-12-02,良,48,0,102,75,52,
80,长春,1,,2017-12-03,良,40,0,82,65,44,
49,长春,1,,2017-12-04,优,36,0,62,40,51,
58,长春,1.2,,2017-12-05,良,40,0,67,43,51,
75,长春,0.8,,2017-11-02,良,49,23,81,65,19,
178,长春,1,,2017-11-03,中度污染,42,44,148,140,24,
66,长春,0.8,,2017-11-04,良,41,45,85,50,31,
95,长春,1.2,,2017-11-05,良,39,87,117,72,27,
119,长春,1.2,,2017-11-06,轻度污染,48,82,128,104,30,
50,长春,0.9,,2017-10-03,优,35,66,62,18,11,
62,长春,1,,2017-10-04,良,41,75,78,28,12,
67,长春,1.2,,2017-10-05,良,30,121,82,31,15,
75,长春,1,,2017-10-06,良,27,131,62,30,13,
70,长春,1.3,,2017-10-07,良,48,66,84,52,13,
91,长春,1.7,,2017-10-08,良,60,111,122,70,14,
52,长春,1,,2017-10-09,良,31,44,55,29,11,
59,长春,1.1,,2017-09-03,良,45,111,56,22,9,
56,长春,1,,2017-09-04,良,25,108,47,23,9,
43,长春,1,,2017-09-05,优,24,87,40,19,8,
40,长春,0.9,,2017-09-06,优,33,79,35,14,9,
54,长春,0.9,,2017-09-07,良,34,105,40,16,11,
35,长春,0.8,,2017-09-08,优,28,65,34,12,9,
45,长春,0.9,,2017-09-09,优,36,61,41,12,11,
71,长春,1.1,,2017-09-10,良,29,126,55,25,9,
32,长春,0.8,,2017-09-11,优,28,65,32,12,9,
34,长春,0.9,,2017-08-04,优,20,68,22,9,7,
52,长春,1.1,,2017-08-05,良,33,103,45,17,8,
55,长春,1,,2017-08-06,良,44,85,27,14,8,
62,长春,0.9,,2017-08-07,良,29,115,24,11,8,
69,长春,1,,2017-08-08,良,42,123,43,13,9,
75,长春,0.9,,2017-08-09,良,29,131,34,11,8,
52,长春,1,,2017-08-10,良,27,103,28,12,8,
65,长春,1.1,,2017-08-11,良,31,119,42,20,8,
71,长春,1,,2017-08-12,良,31,126,31,16,7,
67,长春,1,,2017-07-04,良,47,121,52,20,9,
93,长春,1.1,,2017-07-05,良,45,152,63,24,8,
120,长春,1,,2017-07-06,轻度污染,41,183,52,20,8,
95,长春,0.9,,2017-07-07,良,29,154,47,19,8,
100,长春,1.1,,2017-07-08,良,21,160,51,28,8,
89,长春,1,,2017-07-09,良,23,147,42,21,8,
70,长春,0.9,,2017-07-10,良,28,125,35,15,8,
117,长春,1.1,,2017-07-11,轻度污染,26,179,59,27,9,
131,长春,1.1,,2017-07-12,轻度污染,20,195,80,46,9,
51,长春,1,,2017-06-03,良,42,85,42,21,12,
52,长春,0.9,,2017-06-04,良,44,97,32,14,12,
82,长春,1,,2017-06-05,良,44,139,47,18,10,
81,长春,1.1,,2017-06-06,良,53,138,58,22,12,
51,长春,1.2,,2017-06-07,良,35,102,46,32,11,
47,长春,1,,2017-06-08,优,36,94,46,19,11,
58,长春,0.9,,2017-06-09,良,38,70,70,16,12,
38,长春,0.9,,2017-06-10,优,32,48,40,13,12,
69,长春,1.1,,2017-05-04,良,28,123,67,30,15,
156,长春,1.1,,2017-05-05,中度污染,21,105,0,0,11,
500,长春,0.9,,2017-05-06,严重污染,13,76,0,0,9,
104,长春,0.9,,2017-05-07,轻度污染,23,107,156,35,9,
73,长春,1,,2017-05-08,良,42,128,60,28,11,
117,长春,1,,2017-05-09,轻度污染,32,179,103,36,13,
119,长春,1.5,,2017-04-04,轻度污染,33,169,186,75,25,
113,长春,1.5,,2017-04-05,轻度污染,38,168,142,86,26,
112,长春,1.3,,2017-04-06,轻度污染,44,90,103,86,23,
192,长春,1.5,,2017-04-07,中度污染,56,143,162,144,24,
54,长春,1,,2017-04-08,良,31,102,58,32,17,
65,长春,1.1,,2017-04-09,良,42,107,89,37,23,
85,长春,1.1,,2017-04-10,良,35,132,118,48,21,
71,长春,0.8,,2017-04-11,良,21,100,93,21,11,
63,长春,0.8,,2017-04-12,良,29,97,80,20,11,
43,长春,1.2,,2017-03-04,优,29,82,41,26,31,
67,长春,1.4,,2017-03-05,良,49,85,65,49,46,
58,长春,1.4,,2017-03-06,良,46,80,54,39,33,
39,长春,1.2,,2017-03-07,优,28,70,39,21,29,
52,长春,1.3,,2017-03-08,良,39,88,56,29,39,
63,长春,1.5,,2017-03-09,良,51,82,79,43,41,
85,长春,1.6,,2017-03-10,良,61,96,100,63,44,
103,长春,1.7,,2017-03-11,轻度污染,55,116,128,77,47,
64,长春,1.2,,2017-03-12,良,31,63,75,34,26,
48,长春,1.2,,2017-03-13,优,41,87,47,29,29,
130,长春,1.7,,2017-02-05,轻度污染,35,81,116,97,40,
47,长春,1.3,,2017-02-06,优,38,70,51,33,41,
95,长春,1.8,,2017-02-07,良,55,52,94,71,54,
97,长春,1.8,,2017-02-08,良,51,63,95,72,46,
51,长春,1.3,,2017-02-09,良,35,59,49,36,33,
41,长春,1.1,,2017-02-10,优,28,64,41,25,35,
65,长春,1.3,,2017-02-11,良,35,71,90,58,53,
77,长春,1.7,,2017-01-03,良,50,54,78,56,60,
99,长春,1.9,,2017-01-04,良,73,30,102,75,79,
148,长春,2,,2017-01-05,轻度污染,80,42,132,113,69,
156,长春,2.3,,2017-01-06,中度污染,80,46,138,119,94,
278,长春,3.1,,2017-01-07,重度污染,101,51,250,230,99,
328,长春,3.2,,2017-01-08,严重污染,106,43,293,273,106,
61,长春,1.4,,2017-01-09,良,37,64,63,42,44,
55,长春,1.2,,2017-01-10,良,28,62,61,22,41,
53,长春,1.3,,2017-01-11,良,40,61,49,31,55,
143,长春,1.8,,2016-12-03,轻度污染,45,77,130,109,59,
77,长春,1.3,,2016-12-04,良,31,59,71,56,37,
54,长春,1.2,,2016-12-05,良,43,41,51,35,53,
53,长春,1.2,,2016-12-06,良,40,38,55,36,55,
125,长春,1.5,,2016-12-07,轻度污染,55,40,112,95,75,
118,长春,1.6,,2016-12-08,轻度污染,56,23,112,89,71,
129,长春,1.6,,2016-12-09,轻度污染,55,39,118,98,64,
79,长春,1.5,,2016-12-10,良,55,38,80,58,59,
93,长春,1.6,,2016-12-11,良,49,42,88,69,62,
115,长春,1.2,,2016-11-03,轻度污染,51,54,96,87,40,
296,长春,2.1,,2016-11-04,重度污染,86,28,227,246,58,
294,长春,1.7,,2016-11-05,重度污染,57,76,226,244,28,
162,长春,1.4,,2016-11-06,中度污染,45,61,155,123,38,
158,长春,1.4,,2016-11-07,中度污染,41,72,136,120,26,
75,长春,1.2,,2016-11-08,良,40,57,61,55,31,
74,长春,1.4,,2016-11-09,良,50,39,74,54,45,
59,长春,1.3,,2016-11-10,良,30,49,54,42,37,
64,长春,1.3,,2016-11-11,良,32,54,56,46,27,
49,长春,0.8,,2016-10-03,优,31,64,49,33,8,
48,长春,0.7,,2016-10-04,优,38,31,37,22,7,
39,长春,0.7,,2016-10-05,优,28,53,39,25,8,
63,长春,1,,2016-10-06,良,37,57,76,33,8,
58,长春,1,,2016-10-07,良,42,27,65,41,9,
37,长春,0.8,,2016-10-08,优,29,34,23,17,7,
38,长春,0.7,,2016-10-09,优,30,53,38,17,9,
53,长春,0.8,,2016-10-10,良,37,57,55,31,10,
44,长春,0.7,,2016-10-11,优,35,60,41,19,9,
47,长春,0.7,,2016-09-03,优,37,94,42,24,6,
42,长春,0.6,,2016-09-04,优,33,72,25,14,5,
59,长春,0.7,,2016-09-05,良,33,110,37,22,6,
49,长春,0.7,,2016-09-06,优,39,88,42,27,6,
52,长春,0.7,,2016-09-07,良,40,82,54,30,7,
43,长春,0.6,,2016-09-08,优,34,85,29,17,6,
53,长春,0.6,,2016-09-09,良,42,52,27,17,5,
48,长春,0.7,,2016-09-10,优,38,77,34,20,6,
52,长春,0.7,,2016-09-11,良,41,77,44,26,7,
81,长春,0.8,,2016-08-02,良,46,137,69,51,6,
92,长春,0.7,,2016-08-03,良,44,150,62,28,5,
106,长春,0.8,,2016-08-04,轻度污染,35,166,70,39,4,
84,长春,1,,2016-08-05,良,32,140,78,50,5,
86,长春,0.5,,2016-07-04,良,46,143,55,25,6,
58,长春,0.4,,2016-07-05,良,25,109,39,16,6,
91,长春,0.5,,2016-07-06,良,31,149,36,16,5,
113,长春,0.7,,2016-07-07,轻度污染,31,174,59,35,7,
92,长春,0.7,,2016-07-08,良,31,150,58,35,7,
79,长春,0.7,,2016-07-09,良,35,134,79,51,6,
92,长春,0.8,,2016-07-10,良,36,150,92,53,5,
77,长春,0.6,,2018-12-03,良,22,41,103,31,11,
29,长春,0.6,,2018-12-04,优,20,46,29,15,12,
38,长春,0.7,,2018-12-05,优,30,45,37,22,17,
44,长春,0.7,,2018-12-06,优,29,54,44,23,16,
37,长春,0.6,,2018-12-07,优,18,49,37,14,14,
35,长春,0.6,,2018-12-08,优,20,52,35,14,18,
52,长春,1,,2018-12-09,良,36,55,54,33,26,
68,长春,1.2,,2018-11-07,良,46,46,86,49,13,
62,长春,1,,2018-11-08,良,46,40,72,44,15,
56,长春,0.9,,2018-11-09,良,34,38,61,39,9,
53,长春,0.7,,2018-11-10,良,34,38,56,30,12,
70,长春,1.2,,2018-11-11,良,46,30,85,51,18,
55,长春,0.9,,2018-11-12,良,37,46,59,36,13,
52,长春,0.9,,2018-11-13,良,38,48,53,31,13,
51,长春,0.9,,2018-11-14,良,38,48,52,31,13,
60,长春,0.9,,2018-11-15,良,30,33,59,43,12,
33,长春,0.6,,2018-11-16,优,26,47,29,13,13,
56,长春,0.6,,2018-10-06,良,36,49,61,21,6,
54,长春,0.5,,2018-10-07,良,33,52,58,14,7,
42,长春,0.5,,2018-10-08,优,27,39,42,11,6,
48,长春,0.5,,2018-10-09,优,30,44,48,15,6,
28,长春,0.5,,2018-10-10,优,22,33,21,10,5,
40,长春,0.7,,2018-10-11,优,29,36,40,17,5,
53,长春,0.9,,2018-10-12,良,42,50,53,24,8,
52,长春,1,,2018-10-13,良,38,87,54,29,9,
27,长春,0.5,,2018-09-05,优,21,27,18,6,4,
30,长春,0.6,,2018-09-06,优,24,53,24,8,5,
28,长春,0.5,,2018-09-07,优,22,56,24,7,5,
28,长春,0.5,,2018-09-08,优,22,47,28,9,5,
40,长春,0.5,,2018-09-09,优,29,63,40,14,5,
42,长春,0.5,,2018-09-10,优,29,65,42,13,5,
44,长春,0.9,,2018-08-07,优,35,44,32,16,3,
42,长春,0.9,,2018-08-08,优,33,57,38,16,3,
49,长春,0.9,,2018-08-09,优,34,98,46,16,4,
40,长春,0.5,,2018-08-10,优,28,80,34,10,4,
48,长春,0.5,,2018-08-11,优,26,95,43,12,4,
35,长春,0.6,,2018-08-12,优,28,67,19,11,3,
39,长春,0.7,,2018-08-13,优,20,78,21,11,3,
39,长春,0.7,,2018-08-14,优,22,78,15,8,3,
39,长春,0.6,,2018-08-15,优,20,77,26,11,3,
33,长春,0.6,,2018-07-09,优,23,65,31,12,4,
58,长春,0.9,,2018-07-10,良,33,109,56,26,5,
35,长春,0.6,,2018-07-11,优,28,59,34,13,4,
36,长春,0.7,,2018-07-12,优,16,65,28,16,3,
42,长春,0.6,,2018-07-13,优,18,54,40,16,3,
32,长春,0.5,,2018-07-14,优,17,64,28,13,3,
60,长春,0.9,,2018-07-15,良,17,112,50,27,3,
30,长春,0.5,,2018-07-16,优,19,50,29,13,3,
85,长春,0.6,,2018-06-09,良,37,141,40,19,6,
76,长春,0.6,,2018-06-10,良,33,131,32,15,5,
47,长春,0.7,,2018-06-11,优,37,93,29,18,5,
64,长春,0.9,,2018-06-12,良,52,109,47,19,5,
82,长春,0.9,,2018-06-13,良,50,138,50,25,6,
43,长春,0.7,,2018-06-14,优,34,76,28,16,5,
52,长春,0.7,,2018-06-15,良,27,102,19,9,5,
66,长春,0.7,,2018-05-08,良,43,109,81,27,9,
63,长春,0.7,,2018-05-09,良,44,115,66,25,9,
79,长春,0.9,,2018-05-10,良,41,133,108,36,9,
78,长春,1,,2018-05-11,良,34,130,103,57,11,
64,长春,0.9,,2018-05-12,良,35,100,57,46,6,
94,长春,1.1,,2018-05-13,良,38,152,90,55,9,
92,长春,1.1,,2018-05-14,良,29,150,109,50,8,
90,长春,1,,2018-05-15,良,25,147,76,38,5,
62,长春,0.8,,2018-04-08,良,35,90,74,29,14,
102,长春,1.1,,2018-04-09,轻度污染,53,108,121,76,17,
60,长春,0.9,,2018-04-10,良,28,89,70,42,8,
0,长春,0.7,,2018-04-11,无,18,92,0,0,4,
0,长春,0.8,,2018-04-12,无,32,85,0,0,6,
80,长春,1,,2018-04-13,良,38,110,108,59,8,
90,长春,0.7,,2018-04-14,良,21,76,130,28,4,
59,长春,0.8,,2018-04-15,良,34,110,59,30,5,
82,长春,0.9,,2018-04-16,良,37,118,113,36,8,
75,长春,1.2,,2018-03-09,良,60,112,62,50,24,
77,长春,1.1,,2018-03-10,良,55,106,69,56,30,
80,长春,1.2,,2018-03-11,良,54,97,75,59,26,
90,长春,1.2,,2018-03-12,良,37,110,93,67,25,
107,长春,1.2,,2018-03-13,轻度污染,40,103,111,80,20,
134,长春,1.4,,2018-03-14,轻度污染,42,42,132,102,16,
45,长春,0.6,,2018-03-15,优,26,90,24,14,12,
55,长春,0.8,,2018-03-16,良,44,95,43,26,23,
53,长春,1,,2018-03-17,良,40,91,55,35,30,
107,长春,1.7,,2018-02-06,轻度污染,58,46,102,80,46,
113,长春,1.7,,2018-02-07,轻度污染,61,55,104,85,44,
70,长春,1.1,,2018-02-08,良,36,77,89,42,45,
66,长春,1.1,,2018-02-09,良,38,65,81,45,37,
57,长春,0.7,,2018-02-10,良,22,70,63,19,31,
51,长春,0.7,,2018-02-11,良,19,68,51,15,30,
46,长春,0.8,,2018-02-12,优,28,68,46,20,44,
41,长春,0.9,,2018-02-13,优,30,65,41,25,40,
83,长春,1.1,,2018-01-07,良,50,46,90,61,57,
72,长春,1,,2018-01-08,良,39,47,64,52,35,
47,长春,0.6,,2018-01-09,优,28,54,47,27,33,
43,长春,0.6,,2018-01-10,优,32,51,36,30,28,
80,长春,0.9,,2018-01-11,良,45,58,68,59,44,
77,长春,1.1,,2018-01-12,良,44,61,68,56,59,
108,长春,1.8,,2018-01-13,轻度污染,56,51,99,81,62,
73,长春,0.9,,2018-01-14,良,33,65,62,53,43,
150,长春,2.3,,2017-12-06,轻度污染,57,0,145,111,55,
256,长春,2.2,,2017-12-07,重度污染,53,0,144,123,39,
93,长春,1.2,,2017-12-08,良,44,0,89,60,58,
102,长春,1.9,,2017-12-09,轻度污染,42,0,78,54,51,
26,长春,0.6,,2017-12-10,优,26,0,73,47,28,
34,长春,0.5,,2017-12-11,优,24,0,46,21,30,
52,长春,0.9,,2017-12-12,良,33,0,55,38,45,
107,长春,1.4,,2017-12-13,轻度污染,54,34,99,76,71,
102,长春,1.4,,2017-12-14,轻度污染,54,38,94,73,67,
201,长春,1.4,,2017-11-07,重度污染,45,49,152,152,24,
76,长春,0.8,,2017-11-08,良,34,36,73,57,17,
102,长春,1,,2017-11-09,轻度污染,38,51,95,76,23,
47,长春,0.6,,2017-11-10,优,22,39,46,29,13,
55,长春,0.7,,2017-11-11,良,37,45,56,41,27,
70,长春,1,,2017-11-12,良,39,50,77,51,27,
70,长春,1,,2017-11-13,良,33,54,81,50,24,
62,长春,0.6,,2017-11-14,良,21,53,74,25,19,
91,长春,0.8,,2017-11-15,良,31,50,92,71,28,
54,长春,0.9,,2017-10-10,良,36,55,57,25,13,
51,长春,0.9,,2017-10-11,良,38,76,64,42,12,
78,长春,1,,2017-10-12,良,47,70,88,63,14,
86,长春,1.3,,2017-10-13,良,51,64,101,67,15,
96,长春,1.1,,2017-10-14,良,46,72,119,87,14,
135,长春,1.4,,2017-10-15,轻度污染,50,70,135,104,17,
114,长春,1.3,,2017-10-16,轻度污染,47,74,109,90,14,
66,长春,1.1,,2017-10-17,良,50,66,86,50,17,
40,长春,0.9,,2017-09-12,优,33,47,40,16,10,
50,长春,1,,2017-09-13,优,36,59,51,20,12,
52,长春,1,,2017-09-14,良,43,61,58,19,12,
55,长春,1,,2017-09-15,良,45,48,54,18,10,
81,长春,1.2,,2017-09-16,良,35,138,65,28,11,
38,长春,0.9,,2017-09-17,优,33,74,39,15,9,
63,长春,1.1,,2017-09-18,良,51,86,66,23,12,
45,长春,1,,2017-09-19,优,25,90,40,18,9,
38,长春,1,,2017-09-20,优,32,62,39,14,10,
50,长春,1,,2017-09-21,优,34,101,48,17,10,
70,长春,1.2,,2017-08-13,良,37,125,48,24,8,
50,长春,1.1,,2017-08-14,优,38,88,52,24,8,
42,长春,0.9,,2017-08-15,优,33,55,44,15,9,
37,长春,1,,2017-08-16,优,30,66,27,10,9,
42,长春,0.9,,2017-08-17,优,26,85,34,11,10,
40,长春,0.9,,2017-08-18,优,29,57,41,12,10,
33,长春,0.9,,2017-08-19,优,26,65,32,10,8,
43,长春,1,,2017-08-20,优,27,87,37,13,7,
86,长春,1.2,,2017-07-13,良,26,144,51,31,7,
61,长春,0.9,,2017-07-14,良,30,114,38,19,7,
73,长春,1,,2017-07-15,良,37,128,54,25,8,
75,长春,1,,2017-07-16,良,28,131,50,25,7,
79,长春,0.9,,2017-07-17,良,22,135,48,22,7,
94,长春,1,,2017-07-18,良,20,153,56,30,7,
57,长春,1.1,,2017-07-19,良,30,102,62,37,6,
32,长春,0.8,,2017-07-20,优,25,64,21,13,7,
67,长春,0.7,,2017-07-21,良,27,121,29,11,8,
78,长春,0.9,,2017-07-22,良,41,134,51,19,12,
52,长春,1,,2017-06-11,良,36,61,55,20,14,
56,长春,1,,2017-06-12,良,48,88,71,24,15,
85,长春,1.1,,2017-06-13,良,52,142,93,31,13,
82,长春,1.1,,2017-06-14,良,48,139,81,29,15,
52,长春,0.9,,2017-06-15,良,50,98,61,21,13,
127,长春,0.9,,2017-06-16,轻度污染,45,190,55,15,11,
121,长春,1.4,,2017-06-17,轻度污染,54,184,101,46,14,
125,长春,1.2,,2017-06-18,轻度污染,27,188,79,39,12,
100,长春,1.1,,2017-06-19,良,28,161,47,30,10,
106,长春,1,,2017-05-10,轻度污染,25,167,73,33,13,
91,长春,1.1,,2017-05-11,良,24,150,131,38,14,
99,长春,0.9,,2017-05-12,良,33,94,148,35,11,
57,长春,0.9,,2017-05-13,良,34,99,64,24,11,
44,长春,0.9,,2017-05-14,优,19,89,13,10,10,
42,长春,0.9,,2017-05-15,优,35,76,32,16,11,
76,长春,0.9,,2017-05-16,良,34,132,41,18,11,
100,长春,1,,2017-05-17,良,32,160,56,19,14,
164,长春,1.1,,2017-05-18,中度污染,25,229,123,37,14,
93,长春,0.9,,2017-04-13,良,38,107,133,37,16,
82,长春,1.3,,2017-04-14,良,33,137,108,61,21,
88,长春,1.2,,2017-04-15,良,29,140,128,54,17,
80,长春,1,,2017-04-16,良,46,123,115,50,19,
66,长春,1.4,,2017-03-14,良,54,95,78,44,31,
68,长春,1.5,,2017-03-15,良,52,111,85,47,32,
111,长春,1.8,,2017-03-16,轻度污染,74,138,132,88,44,
210,长春,2.2,,2017-03-17,重度污染,89,148,200,160,61,
167,长春,1.8,,2017-03-18,中度污染,58,118,147,122,34,
66,长春,1.4,,2017-03-19,良,47,111,89,48,27,
71,长春,1.4,,2017-03-20,良,48,95,96,51,29,
81,长春,1.4,,2017-03-21,良,47,98,96,62,33,
87,长春,1.4,,2017-03-22,良,49,94,97,65,30,
167,长春,1.7,,2017-02-12,中度污染,61,88,157,129,74,
171,长春,2,,2017-02-13,中度污染,72,78,155,131,61,
133,长春,1.9,,2017-02-14,轻度污染,54,94,120,100,46,
103,长春,1.7,,2017-02-15,轻度污染,40,101,97,78,65,
95,长春,1.1,,2017-02-16,良,21,97,144,35,32,
55,长春,1.1,,2017-02-17,良,24,84,62,19,34,
43,长春,1.2,,2017-02-18,优,32,78,43,25,35,
59,长春,1.3,,2017-02-19,良,30,68,68,38,33,
51,长春,1.2,,2017-01-12,良,37,64,44,30,51,
53,长春,1.1,,2017-01-13,良,28,58,56,24,41,
38,长春,1,,2017-01-14,优,28,56,35,22,37,
77,长春,1.4,,2017-01-15,良,45,51,82,61,58,
178,长春,2.3,,2017-01-16,中度污染,75,29,168,136,89,
209,长春,2.4,,2017-01-17,重度污染,83,47,189,163,79,
200,长春,2.1,,2017-01-18,中度污染,61,46,170,146,64,
112,长春,1.6,,2017-01-19,轻度污染,53,45,107,82,56,
87,长春,1.4,,2017-01-20,良,46,48,88,66,55,
120,长春,1.8,,2016-12-12,轻度污染,53,33,100,91,44,
82,长春,1.4,,2016-12-13,良,44,36,84,60,44,
102,长春,1.5,,2016-12-14,轻度污染,52,37,92,76,56,
95,长春,1.4,,2016-12-15,良,50,41,94,71,59,
85,长春,1.5,,2016-12-16,良,60,30,83,63,87,
148,长春,2.2,,2016-12-17,轻度污染,67,32,128,113,73,
203,长春,2.4,,2016-12-18,重度污染,73,38,170,153,66,
206,长春,2.3,,2016-12-19,重度污染,58,51,172,156,53,
