people_number,position_link,position_name,position_require,position_responsibility,position_type,publish_times,spider,time,work_location
1,https://hr.tencent.com/position_detail.php?id=46475&keywords=&tid=0&lid=0,28481-医药行业合作高级经理（深圳）,"1、全日制本科及以上学历，三年以上医药行业工作经验；,2、熟悉医药行业，有医药行业拓展、运营经验或创新平台运营经验；,3、具有独立的行业解决方案制定以及落地能力；,4、具备良好的沟通表达能力，清晰的思维逻辑，敏锐的洞察力，较强的自驱力和执行力；,5、对工作有高度的责任心和激情，注重团队合作，适应频繁差旅需求。","1、负责医药相关政府机构以及行业客户资源拓展（包括不限于生产企业、流通企业、零售终端、创新平台等专业领域）；,2、拓展相关行业合作伙伴以及合作机构，整合公司已有产品和资源，形成场景化的创新解决方案；,3、搜集整理医药行业的市场动态、政策变动等行业信息，解读反馈助推业务策略制定；,4、整合资源，设计制定并推进商业合作方案落地，有效撬动行业资源合作。",市场类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.501735,深圳
1,https://hr.tencent.com/position_detail.php?id=46473&keywords=&tid=0&lid=0,25928-前端测试开发工程师（深圳）,"本科及以上学历，计算机相关专业，开发或者测试开发出身，有软件开发的基础；,2-3年以上软件行业或者互联网行业经验，熟悉Windows编程或Android/iOS编程；,熟悉软件开发流程，熟悉Android/iOS环境下自动化测试技术；,扎实的测试用例设计能力，熟悉主流自动化方法；,具备扎实的C++、C或Object-C程序设计基础。,有以下任意一项经验者优先：,较强的DEBUG能力；,有Android、iOS产品自动化测试经验。","负责平台类软件的测试开发工作；,负责平台组件的接口测试、单元测试工作；,能够在关键技术上给予团队技术指引和支持；,按时完成安排的移动端开发任务；,负责与项目组之间的协调，推动工作，帮助项目组推动整个项目质量的提升。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.500913,深圳
2,https://hr.tencent.com/position_detail.php?id=46484&keywords=&tid=0&lid=0,25664-政府行业交付项目经理,"1、全日制统招本科及以上学历，5年以上政府行业经验，至少深入参与5个政府行业大中型项目；,2、有在大型企业工作的经历，管理过20人以上的项目团队，有丰富的跨部门、跨组织沟通协调经验，能够应对复杂的项目环境；,3、熟悉研发过程，包括产品设计、需求分析、架构设计、开发、测试、运维等，熟悉敏捷开发过程；,4、有出色的沟通能力和技巧，能够想方设法推动项目的顺利进行，有强烈的结果导向意识；,5、具备良好的项目管理、客户关系维护能力，和优秀的沟通技巧，能妥善协调好客户、合作伙伴、内部团队的合作关系；,6、有非常强的事业心、责任感和担当精神，有较强的抗压能力，能并行处理多个项目工作，能承受一定程度的出差或驻场工作；,7、有PMP、ITIL证书者优先，信息产业部系统集成项目经理证书者优先。","1、负责腾讯云政府行业的项目交付管理工作；,2、负责项目资源的组织与协调，确保项目团队各干系人及内外部合作团队的协同工作； ,3、负责项目计划的制定、跟踪与维护，确保项目按计划完成，并解决交付中的各类问题；,4、协助收集客户需求和用户反馈，驱动研发团队完善产品，确保项目顺利通过验收。",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.500219,深圳
3,https://hr.tencent.com/position_detail.php?id=46471&keywords=&tid=0&lid=0,PCG04-IOS/Android终端开发工程师（深圳）,"本科以上学历，计算机相关专业，3年以上相关工作经验；,熟悉IOS或Android平台应用开发并有成熟产品开发经验，对终端APP性能监控和调优有经验者优先；,对业界开源软件有持续关注，并对一些核心组件有过深入的了解；,能独立承担任务，具备优秀的分析和解决问题的能力；,有团队精神，具有良好的沟通能力。","参与PCG研发部重要工具链和平台的建设工作； ,参与新工具/平台系统的需求分析、架构设计、核心框架及组件的编码等开发工作；,优化和改进现有产品以提升用户体验；,持续从技术上提升App性能、稳定性，提升研发效能。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.771500,深圳
1,https://hr.tencent.com/position_detail.php?id=46483&keywords=&tid=0&lid=0,PCG14-应用宝数据挖掘算法工程师（深圳）,"计算机、应用数学、人工智能、模式识别、统计、自控等专业的硕士或者博士优先；,2年以上相关工作经验；,对机器学习、数据挖掘算法及其在互联网上的应用有比较深入的理解；,熟悉掌握C/C++语言；,有大规模分布式计算平台的使用和并行算法开发经验；,严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力；,有互联网广告，电商，搜索等方面推荐经验优先。","负责提供合适的推荐算法模型；,负责研究业内领先的技术，结合腾讯各个业务平台的数据，根据应用中心和社交渠道这两个场景给出具体的实验数据，并且评估结果；,负责根据不同的算法模型，上报业务需要的统计数据，协助各种算法的实施；,研究已有算法的瓶颈，提出合理的改进措施和解决方案。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.498445,深圳
1,https://hr.tencent.com/position_detail.php?id=46470&keywords=&tid=0&lid=0,30359-大数据高级运营开发工程师,"大学本科及以上学历，计算机或者相关专业； ,深入理解linux系统，运维体系结构，精于容量规划、架构设计、性能优化；,掌握shell/perl/python等脚本语言一种及以上，掌握Java/Scala/go等开发语言一种及以上； ,掌握多个大数据开源组件的现网运营经验，比如：hadoop、hive、spark、kafka；,具备很强的ownership，故障排查能力，有很好的技术敏感度和风险识别能力； ,良好的客户服务意识，善于团队协作，项目管理。主动思考，自我驱动力强； ,能够承受较大的工作压力，以结果和行动为准则，努力追求成功； ,熟悉分布式系统设计范型，有大规模系统设计和工程实现的了解者优先；","负责PCG大数据/Hadoop/Spark/MQ/实时计算/OLAP/的运营支撑； ,为每天处理PB级别数据平台保驾护航；保障平台的稳定、高效运行，支撑PCG业务快速发展； ,深入理解数据平台架构，发现并解决重大故障及性能瓶颈，打造一流的数据平台；,持续的创新和优化能力，提升产品整体质量，改善用户体验，控制系统成本；",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.770800,深圳
1,https://hr.tencent.com/position_detail.php?id=46436&keywords=&tid=0&lid=0,29912-短视频Android开发工程师,"1、3年以上Android客户端开发经验；扎实的计算机科学基础，熟悉常见的数据结构和算法。,2、精通Android SDK，熟练掌握Android Studio等开发工具，熟练使用Git等工具；精通 C/C++或JAVA开发语言，精通多线程以及网络编程；,3、有良好的编程习惯，代码结构清晰； ,4、具备音视频相关项目经验或OpenGL/Shader等图像处理技术相关经验优先","1、负责短视频项目产品研发； ,2、和产品经理配合,深度参与短视频产品需求讨论，功能定义等； ,3、负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；,4、进行技术预研，将新技术落地到产品，进行技术分享。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.805347,深圳
2,https://hr.tencent.com/position_detail.php?id=46448&keywords=&tid=0&lid=0,WXG03-122 小程序搜索算法工程师（广州）,"掌握 python，C++等至少一门语言，熟悉常用数据结构和算法；,良好的逻辑思维能力以及洞察力，乐于思考事物的原理；了解自然语言处理及信息检索等相关知识；,有团队合作精神，不惧挑战； ,掌握至少一类机器学习框架；,有责任心，主动性强；,有CTR相关项目经验优先；具备Web相关经验优先。",负责微信小程序搜索算法层面的工作，工作内容包含通过机器学习、自然语言处理等技术处理数据挖掘、内容质量判定、召回及排序等系列问题，并与开发工程师配合进行工程实践。,技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.874673,广州
1,https://hr.tencent.com/position_detail.php?id=46446&keywords=&tid=0&lid=0,28481-医疗大数据开发工程师（深圳）,"1. 计算机本科及以上学历，3年及以上Linux/Unix系统下数据相关开发经验。,2. 熟悉shell,python等脚本语言。熟悉MYSQL或其他大型数据库，有一定SQL编码及调优经验，熟悉java,Scala等语言更优。,3. 熟悉Hadoop，Spark，Storm等大数据计算框架以及TensorFlow，pytorch等深度学习平台，有海量数据处理经验。有用户画像和知识图谱相关积累。,4. 具备医疗行业信息化产品或者研发领域行业经验优先。,5. 自我驱动力强、有高度责任心和团队合作精神。","医疗数据的分析和处理：,实现影像和医技非结构化数据的处理应用，以及用户健康画像生成。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.873401,深圳
1,https://hr.tencent.com/position_detail.php?id=46447&keywords=&tid=0&lid=0,27092-高级前端广告工程师（深圳）,"本科及以上学历，计算机相关专业，3年及以上相关工作经验； ,精通javascript(es6、es7)、HTML语法，有一定的跨浏览器开发调试经验； ,熟悉http协议，具备web性能优化经验和web安全知识，能独立完成html、css的页面制作、具备良好的css功底； ,熟悉hybrid App的实现过程，利用客户端能力优化HTML5性能，具有Android、iOS相关客户端研发经验者优先；,熟悉Node.js后端Server研发，具有服务高并发、性能分析调优、后端服务架构经验者优先；,具有成功的互联网应用软件开发经历优先，对服务端开发(cgi、asp、net、php、jsp)熟悉并具有linux等相关平台下开发经验者优先； ,具备良好的责任心与工作激情，团队合作能力强。","负责开发PCG的媒体商业化和内容商业化的前端样式能力、链路优化、效率工具的研发，要求开发的系统具有高性能和高可靠性；,负责应用javascript和相关技术与后台、客户端(Android、iOS)进行交互通信； ,负责pc web和手机HTML5前端系统分析、优化与架构工作； ,熟悉NodeJs服务端开发并具有linux等相关平台下开发经验者优先。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.873995,深圳
